Log_ID,Equipment_ID,Base_ID,Service_Date,Service_Type,Technician_Rank,Labor_Hours,Parts_Replaced,Cost_INR,Downtime_Days
ML-5074,EQ-1026,B04,2026-04-07,Emergency Repair,Naik Mech,24,"Brake Pads, Hydraulic Line",30436,3
ML-5075,EQ-1026,B04,2026-02-24,Oil & Filter Overhaul,Subedar Tech,48,"Oil Filter, Gaskets",21007,1
ML-5076,EQ-1027,B03,2026-06-07,Pre-Mission Inspection,Subedar Tech,12,"Radiator Core, Coolant",11711,1
ML-5077,EQ-1027,B03,2026-04-05,Emergency Repair,Subedar Tech,24,"Alternator, Belt Drive",17238,2
ML-5078,EQ-1027,B03,2026-02-12,Emergency Repair,Sergeant,4,"Starter Motor, Battery",16491,3
ML-5079,EQ-1028,B04,2026-06-02,Corrective Repair,Havildar Tech,16,"Alternator, Belt Drive",40804,1
ML-5080,EQ-1028,B04,2026-03-17,Corrective Repair,Havildar Tech,4,"Radiator Core, Coolant",43647,3
ML-5081,EQ-1028,B04,2025-12-31,Corrective Repair,Sergeant,6,"Starter Motor, Battery",42877,3
ML-5082,EQ-1029,B04,2026-05-29,Oil & Filter Overhaul,Sergeant,12,"Oil Filter, Gaskets",30588,1
ML-5083,EQ-1029,B04,2026-03-23,Pre-Mission Inspection,Warrant Officer,24,"Alternator, Belt Drive",37404,1
ML-5084,EQ-1029,B04,2025-12-21,Emergency Repair,Havildar Tech,4,"Starter Motor, Battery",46483,7
ML-5085,EQ-1029,B04,2025-10-10,Routine Preventive,Warrant Officer,16,"Starter Motor, Battery",35033,1
ML-5086,EQ-1030,B07,2026-06-04,Oil & Filter Overhaul,Havildar Tech,12,"Sensors, Wiring Harness",11305,1
ML-5087,EQ-1030,B07,2026-04-14,Oil & Filter Overhaul,Havildar Tech,12,"Starter Motor, Battery",12118,1
ML-5088,EQ-1030,B07,2026-02-13,Routine Preventive,Warrant Officer,24,"Radiator Core, Coolant",14368,1
ML-5089,EQ-1031,B02,2026-06-09,Pre-Mission Inspection,Subedar Tech,6,"Injector Nozzle, Fuel Filter",34085,1
ML-5090,EQ-1031,B02,2026-03-21,Corrective Repair,Havildar Tech,48,"Oil Filter, Gaskets",30955,3
ML-5091,EQ-1031,B02,2026-01-03,Oil & Filter Overhaul,Havildar Tech,4,"Injector Nozzle, Fuel Filter",39911,1
ML-5092,EQ-1031,B02,2025-10-23,Routine Preventive,Warrant Officer,16,"Brake Pads, Hydraulic Line",42770,1
ML-5093,EQ-1032,B03,2026-05-23,Routine Preventive,Naik Mech,8,"Injector Nozzle, Fuel Filter",64540,1
ML-5094,EQ-1032,B03,2026-02-16,Emergency Repair,Sergeant,16,"Radiator Core, Coolant",57281,7
ML-5095,EQ-1032,B03,2025-11-17,Routine Preventive,Havildar Tech,16,"Sensors, Wiring Harness",52778,1
ML-5096,EQ-1033,B07,2026-07-07,Corrective Repair,Sergeant,24,"Radiator Core, Coolant",26100,1
ML-5097,EQ-1033,B07,2026-05-07,Routine Preventive,Warrant Officer,16,"Radiator Core, Coolant",33027,1
ML-5098,EQ-1034,B03,2026-06-20,Pre-Mission Inspection,Subedar Tech,16,"Oil Filter, Gaskets",29309,1
ML-5099,EQ-1034,B03,2026-05-25,Oil & Filter Overhaul,Subedar Tech,24,"Alternator, Belt Drive",22781,1
ML-5100,EQ-1034,B03,2026-04-10,Routine Preventive,Naik Mech,6,"Sensors, Wiring Harness",22794,1
ML-5101,EQ-1034,B03,2026-02-04,Emergency Repair,Warrant Officer,4,"Starter Motor, Battery",33227,5
ML-5102,EQ-1035,B02,2026-05-22,Pre-Mission Inspection,Subedar Tech,24,"Tire Assembly, Hub Bearing",48277,1
ML-5103,EQ-1035,B02,2026-02-23,Routine Preventive,Naik Mech,16,"Oil Filter, Gaskets",46621,1
ML-5104,EQ-1035,B02,2025-11-17,Oil & Filter Overhaul,Subedar Tech,48,"Injector Nozzle, Fuel Filter",65756,1
ML-5105,EQ-1036,B02,2026-06-12,Pre-Mission Inspection,Warrant Officer,8,"Injector Nozzle, Fuel Filter",10768,1
ML-5106,EQ-1036,B02,2026-04-14,Corrective Repair,Warrant Officer,48,"Brake Pads, Hydraulic Line",11230,7
ML-5107,EQ-1037,B03,2026-06-19,Emergency Repair,Sergeant,24,"Tire Assembly, Hub Bearing",17165,7
ML-5108,EQ-1037,B03,2026-04-11,Oil & Filter Overhaul,Naik Mech,16,"Radiator Core, Coolant",15307,1
ML-5109,EQ-1038,B03,2026-05-07,Pre-Mission Inspection,Naik Mech,8,"Tire Assembly, Hub Bearing",58008,1
ML-5110,EQ-1038,B03,2026-02-23,Routine Preventive,Sergeant,48,"Radiator Core, Coolant",52693,1
ML-5111,EQ-1038,B03,2025-11-06,Emergency Repair,Sergeant,6,"Tire Assembly, Hub Bearing",45355,7
ML-5112,EQ-1039,B04,2026-05-15,Oil & Filter Overhaul,Subedar Tech,24,"Injector Nozzle, Fuel Filter",42951,1
ML-5113,EQ-1039,B04,2026-02-04,Pre-Mission Inspection,Havildar Tech,12,"Injector Nozzle, Fuel Filter",59239,1
ML-5114,EQ-1040,B02,2026-05-22,Oil & Filter Overhaul,Sergeant,16,"Oil Filter, Gaskets",54203,1
ML-5115,EQ-1040,B02,2026-02-20,Corrective Repair,Sergeant,6,"Injector Nozzle, Fuel Filter",56567,2
ML-5116,EQ-1040,B02,2025-11-12,Emergency Repair,Sergeant,8,"Starter Motor, Battery",41953,3
ML-5117,EQ-1041,B05,2026-07-05,Emergency Repair,Subedar Tech,8,"Oil Filter, Gaskets",57419,7
ML-5118,EQ-1041,B05,2026-06-21,Oil & Filter Overhaul,Havildar Tech,16,"Brake Pads, Hydraulic Line",76958,1
ML-5119,EQ-1042,B06,2026-06-23,Corrective Repair,Warrant Officer,48,"Tire Assembly, Hub Bearing",12597,5
ML-5120,EQ-1042,B06,2026-04-06,Oil & Filter Overhaul,Naik Mech,4,"Oil Filter, Gaskets",10661,1
ML-5121,EQ-1043,B06,2026-07-02,Pre-Mission Inspection,Subedar Tech,6,"Brake Pads, Hydraulic Line",27932,1
ML-5122,EQ-1043,B06,2026-05-23,Emergency Repair,Warrant Officer,16,"Oil Filter, Gaskets",32984,1
ML-5123,EQ-1043,B06,2026-03-21,Routine Preventive,Subedar Tech,8,"Alternator, Belt Drive",25506,1
ML-5124,EQ-1044,B06,2026-05-23,Oil & Filter Overhaul,Naik Mech,12,"Oil Filter, Gaskets",59703,1
ML-5125,EQ-1044,B06,2026-02-23,Oil & Filter Overhaul,Sergeant,4,"Radiator Core, Coolant",61685,1
ML-5126,EQ-1045,B03,2026-06-08,Routine Preventive,Warrant Officer,4,"Sensors, Wiring Harness",84719,1
ML-5127,EQ-1045,B03,2026-04-06,Oil & Filter Overhaul,Havildar Tech,6,"Alternator, Belt Drive",118770,1
ML-5128,EQ-1045,B03,2026-02-22,Emergency Repair,Sergeant,8,"Alternator, Belt Drive",87580,5
ML-5129,EQ-1046,B01,2026-05-11,Oil & Filter Overhaul,Subedar Tech,4,"Starter Motor, Battery",41718,1
ML-5130,EQ-1046,B01,2026-02-12,Emergency Repair,Subedar Tech,4,"Injector Nozzle, Fuel Filter",65865,3
ML-5131,EQ-1046,B01,2025-11-12,Pre-Mission Inspection,Subedar Tech,16,"Injector Nozzle, Fuel Filter",60945,1
ML-5132,EQ-1046,B01,2025-08-16,Routine Preventive,Havildar Tech,8,"Starter Motor, Battery",49099,1
ML-5133,EQ-1047,B05,2026-05-15,Pre-Mission Inspection,Sergeant,24,"Brake Pads, Hydraulic Line",58430,1
ML-5134,EQ-1047,B05,2026-02-15,Corrective Repair,Subedar Tech,48,"Injector Nozzle, Fuel Filter",64331,7
ML-5135,EQ-1048,B02,2026-06-07,Corrective Repair,Sergeant,24,"Radiator Core, Coolant",37314,7
ML-5136,EQ-1048,B02,2026-03-21,Pre-Mission Inspection,Havildar Tech,6,"Sensors, Wiring Harness",43257,1
ML-5137,EQ-1048,B02,2026-01-07,Corrective Repair,Subedar Tech,8,"Injector Nozzle, Fuel Filter",38588,2
ML-5138,EQ-1048,B02,2025-10-16,Routine Preventive,Subedar Tech,16,"Alternator, Belt Drive",46617,1
ML-5139,EQ-1049,B02,2026-06-01,Pre-Mission Inspection,Havildar Tech,48,"Sensors, Wiring Harness",41076,1
ML-5140,EQ-1049,B02,2026-03-11,Oil & Filter Overhaul,Warrant Officer,16,"Alternator, Belt Drive",45524,1
ML-5141,EQ-1049,B02,2026-01-03,Oil & Filter Overhaul,Warrant Officer,24,"Sensors, Wiring Harness",43947,1
ML-5142,EQ-1049,B02,2025-10-25,Emergency Repair,Warrant Officer,6,"Tire Assembly, Hub Bearing",41777,5
ML-5143,EQ-1050,B02,2026-07-04,Corrective Repair,Naik Mech,16,"Radiator Core, Coolant",31137,5
ML-5144,EQ-1050,B02,2026-05-09,Routine Preventive,Havildar Tech,8,"Tire Assembly, Hub Bearing",26561,1
ML-5145,EQ-1051,B08,2026-06-28,Pre-Mission Inspection,Warrant Officer,4,"Sensors, Wiring Harness",27702,1
ML-5146,EQ-1051,B08,2026-05-08,Corrective Repair,Havildar Tech,16,"Brake Pads, Hydraulic Line",24092,5
ML-5147,EQ-1052,B03,2026-05-31,Pre-Mission Inspection,Subedar Tech,16,"Tire Assembly, Hub Bearing",40002,1
ML-5148,EQ-1052,B03,2026-03-11,Routine Preventive,Warrant Officer,8,"Radiator Core, Coolant",44154,1
ML-5149,EQ-1052,B03,2025-12-23,Pre-Mission Inspection,Warrant Officer,24,"Oil Filter, Gaskets",34653,1
ML-5150,EQ-1052,B03,2025-10-19,Routine Preventive,Sergeant,48,"Starter Motor, Battery",46984,1
ML-5151,EQ-1053,B03,2026-06-22,Pre-Mission Inspection,Warrant Officer,24,"Tire Assembly, Hub Bearing",24690,1
ML-5152,EQ-1053,B03,2026-05-15,Pre-Mission Inspection,Subedar Tech,12,"Radiator Core, Coolant",33028,1
ML-5153,EQ-1054,B05,2026-06-16,Emergency Repair,Subedar Tech,16,"Sensors, Wiring Harness",85704,2
ML-5154,EQ-1054,B05,2026-04-16,Oil & Filter Overhaul,Warrant Officer,24,"Brake Pads, Hydraulic Line",74216,1
ML-5155,EQ-1054,B05,2026-02-04,Corrective Repair,Sergeant,12,"Starter Motor, Battery",84238,3
ML-5156,EQ-1054,B05,2025-12-09,Pre-Mission Inspection,Sergeant,6,"Brake Pads, Hydraulic Line",104796,1
ML-5157,EQ-1055,B02,2026-06-04,Corrective Repair,Warrant Officer,16,"Oil Filter, Gaskets",14572,2
ML-5158,EQ-1055,B02,2026-04-24,Corrective Repair,Subedar Tech,12,"Tire Assembly, Hub Bearing",17480,1
ML-5159,EQ-1056,B01,2026-06-30,Corrective Repair,Sergeant,48,"Starter Motor, Battery",27894,5
ML-5160,EQ-1056,B01,2026-05-12,Routine Preventive,Naik Mech,4,"Sensors, Wiring Harness",27201,1
ML-5161,EQ-1056,B01,2026-04-06,Oil & Filter Overhaul,Warrant Officer,6,"Oil Filter, Gaskets",26702,1
ML-5162,EQ-1057,B02,2026-07-13,Emergency Repair,Naik Mech,6,"Injector Nozzle, Fuel Filter",73658,5
ML-5163,EQ-1057,B02,2026-06-05,Pre-Mission Inspection,Naik Mech,24,"Tire Assembly, Hub Bearing",65440,1
ML-5164,EQ-1057,B02,2026-05-18,Pre-Mission Inspection,Warrant Officer,16,"Brake Pads, Hydraulic Line",75899,1
ML-5165,EQ-1058,B04,2026-05-11,Oil & Filter Overhaul,Havildar Tech,16,"Tire Assembly, Hub Bearing",55687,1
ML-5166,EQ-1058,B04,2026-02-12,Pre-Mission Inspection,Havildar Tech,4,"Starter Motor, Battery",47517,1
ML-5167,EQ-1058,B04,2025-11-25,Pre-Mission Inspection,Havildar Tech,24,"Brake Pads, Hydraulic Line",51985,1
ML-5168,EQ-1059,B08,2026-06-20,Routine Preventive,Subedar Tech,6,"Oil Filter, Gaskets",15629,1
ML-5169,EQ-1059,B08,2026-04-11,Pre-Mission Inspection,Warrant Officer,16,"Sensors, Wiring Harness",15255,1
ML-5170,EQ-1059,B08,2026-02-17,Oil & Filter Overhaul,Naik Mech,8,"Injector Nozzle, Fuel Filter",12326,1
ML-5171,EQ-1059,B08,2025-12-23,Pre-Mission Inspection,Havildar Tech,24,"Sensors, Wiring Harness",10846,1
ML-5172,EQ-1060,B02,2026-06-05,Corrective Repair,Subedar Tech,48,"Radiator Core, Coolant",15936,2
ML-5173,EQ-1060,B02,2026-04-09,Routine Preventive,Sergeant,8,"Alternator, Belt Drive",12144,1
ML-5174,EQ-1060,B02,2026-02-06,Pre-Mission Inspection,Warrant Officer,6,"Sensors, Wiring Harness",16673,1
ML-5175,EQ-1060,B02,2025-12-25,Pre-Mission Inspection,Subedar Tech,24,"Sensors, Wiring Harness",17309,1
ML-5176,EQ-1061,B05,2026-05-15,Routine Preventive,Sergeant,12,"Radiator Core, Coolant",57873,1
ML-5177,EQ-1061,B05,2026-02-18,Routine Preventive,Naik Mech,12,"Oil Filter, Gaskets",42160,1
ML-5178,EQ-1062,B06,2026-06-30,Oil & Filter Overhaul,Subedar Tech,16,"Radiator Core, Coolant",25424,1
ML-5179,EQ-1062,B06,2026-05-14,Routine Preventive,Warrant Officer,12,"Tire Assembly, Hub Bearing",27169,1
ML-5180,EQ-1062,B06,2026-03-31,Emergency Repair,Havildar Tech,8,"Radiator Core, Coolant",32469,7
ML-5181,EQ-1063,B07,2026-07-10,Corrective Repair,Naik Mech,48,"Radiator Core, Coolant",58436,7
ML-5182,EQ-1063,B07,2026-06-09,Pre-Mission Inspection,Havildar Tech,16,"Oil Filter, Gaskets",58976,1
ML-5183,EQ-1063,B07,2026-05-23,Routine Preventive,Warrant Officer,24,"Oil Filter, Gaskets",84930,1
ML-5184,EQ-1064,B01,2026-06-26,Routine Preventive,Sergeant,6,"Brake Pads, Hydraulic Line",31041,1
ML-5185,EQ-1064,B01,2026-05-21,Oil & Filter Overhaul,Subedar Tech,16,"Alternator, Belt Drive",23580,1
ML-5186,EQ-1064,B01,2026-03-29,Pre-Mission Inspection,Naik Mech,12,"Tire Assembly, Hub Bearing",21443,1
ML-5187,EQ-1064,B01,2026-02-17,Routine Preventive,Havildar Tech,48,"Brake Pads, Hydraulic Line",24359,1
ML-5188,EQ-1065,B03,2026-05-08,Oil & Filter Overhaul,Havildar Tech,4,"Injector Nozzle, Fuel Filter",55676,1
ML-5189,EQ-1065,B03,2026-02-18,Routine Preventive,Subedar Tech,48,"Sensors, Wiring Harness",56297,1
ML-5190,EQ-1065,B03,2025-11-21,Pre-Mission Inspection,Subedar Tech,16,"Sensors, Wiring Harness",55688,1
ML-5191,EQ-1066,B03,2026-07-06,Corrective Repair,Havildar Tech,4,"Alternator, Belt Drive",75228,1
ML-5192,EQ-1066,B03,2026-06-16,Emergency Repair,Subedar Tech,24,"Injector Nozzle, Fuel Filter",57958,3
ML-5193,EQ-1067,B01,2026-06-07,Emergency Repair,Naik Mech,6,"Injector Nozzle, Fuel Filter",16848,2
ML-5194,EQ-1067,B01,2026-04-17,Routine Preventive,Naik Mech,12,"Injector Nozzle, Fuel Filter",12695,1
ML-5195,EQ-1068,B03,2026-05-06,Emergency Repair,Subedar Tech,8,"Starter Motor, Battery",44393,2
ML-5196,EQ-1068,B03,2026-02-12,Pre-Mission Inspection,Naik Mech,8,"Tire Assembly, Hub Bearing",66374,1
ML-5197,EQ-1068,B03,2025-11-16,Oil & Filter Overhaul,Havildar Tech,48,"Sensors, Wiring Harness",50727,1
ML-5198,EQ-1068,B03,2025-08-10,Pre-Mission Inspection,Havildar Tech,16,"Injector Nozzle, Fuel Filter",46074,1
ML-5199,EQ-1069,B08,2026-05-07,Pre-Mission Inspection,Havildar Tech,16,"Sensors, Wiring Harness",51381,1
ML-5200,EQ-1069,B08,2026-02-13,Routine Preventive,Naik Mech,48,"Brake Pads, Hydraulic Line",59323,1
ML-5201,EQ-1069,B08,2025-11-15,Pre-Mission Inspection,Warrant Officer,16,"Oil Filter, Gaskets",45191,1
ML-5202,EQ-1070,B08,2026-05-10,Routine Preventive,Naik Mech,12,"Brake Pads, Hydraulic Line",43560,1
ML-5203,EQ-1070,B08,2026-02-13,Pre-Mission Inspection,Warrant Officer,12,"Starter Motor, Battery",49033,1
ML-5204,EQ-1071,B02,2026-06-17,Corrective Repair,Warrant Officer,24,"Injector Nozzle, Fuel Filter",16109,5
ML-5205,EQ-1071,B02,2026-04-25,Pre-Mission Inspection,Warrant Officer,6,"Tire Assembly, Hub Bearing",15694,1
ML-5206,EQ-1071,B02,2026-02-12,Oil & Filter Overhaul,Havildar Tech,6,"Starter Motor, Battery",10655,1
ML-5207,EQ-1072,B04,2026-07-15,Corrective Repair,Subedar Tech,16,"Brake Pads, Hydraulic Line",84027,1
ML-5208,EQ-1072,B04,2026-06-17,Corrective Repair,Sergeant,6,"Radiator Core, Coolant",63113,5
ML-5209,EQ-1072,B04,2026-05-12,Emergency Repair,Naik Mech,16,"Sensors, Wiring Harness",73038,5
ML-5210,EQ-1072,B04,2026-04-05,Pre-Mission Inspection,Naik Mech,24,"Injector Nozzle, Fuel Filter",71024,1
ML-5211,EQ-1073,B03,2026-06-24,Routine Preventive,Subedar Tech,6,"Alternator, Belt Drive",16096,1
ML-5212,EQ-1073,B03,2026-04-18,Pre-Mission Inspection,Warrant Officer,6,"Tire Assembly, Hub Bearing",14321,1
ML-5213,EQ-1073,B03,2026-02-07,Oil & Filter Overhaul,Sergeant,16,"Brake Pads, Hydraulic Line",14136,1
ML-5214,EQ-1073,B03,2025-12-15,Emergency Repair,Sergeant,48,"Oil Filter, Gaskets",14351,2
ML-5215,EQ-1074,B08,2026-06-20,Routine Preventive,Sergeant,48,"Starter Motor, Battery",16020,1
ML-5216,EQ-1074,B08,2026-04-14,Oil & Filter Overhaul,Subedar Tech,16,"Injector Nozzle, Fuel Filter",14284,1
ML-5217,EQ-1074,B08,2026-02-15,Corrective Repair,Warrant Officer,48,"Brake Pads, Hydraulic Line",14562,1
ML-5218,EQ-1074,B08,2025-12-18,Corrective Repair,Naik Mech,6,"Injector Nozzle, Fuel Filter",16585,3
ML-5219,EQ-1075,B06,2026-07-22,Routine Preventive,Sergeant,12,"Radiator Core, Coolant",77624,1
ML-5220,EQ-1075,B06,2026-06-12,Emergency Repair,Subedar Tech,12,"Starter Motor, Battery",60128,3
ML-5221,EQ-1075,B06,2026-05-16,Pre-Mission Inspection,Warrant Officer,16,"Injector Nozzle, Fuel Filter",64217,1
ML-5222,EQ-1075,B06,2026-04-15,Routine Preventive,Havildar Tech,48,"Oil Filter, Gaskets",83190,1
