Equipment_ID,Base,Equipment_Type,Status,Last_Service,Next_Service,Fuel_Used,Operating_Hours,Maintenance_Cost,Spare_Parts,Readiness
EQ-1791,Pune,Field_Diesel_Generator,Operational,2026-07-26,2026-09-09,429.0,285,55700,Available,87.4
EQ-1881,  Siliguri   ,Heavy Tactical Truck,Out of Service,09/07/2026,07/09/2026,707.0,288,Rs. 55800,,40.1
EQ-1754,Leh,Artillery Tractor,Operational,2026-07-15,2026-09-28,840.0,247,56900,Available,83.0
EQ-1309,Pune,Artillery Tractor,Operational,05-22-2026,08-05-2026,745.0,222,54300,Available,81.8
EQ-1327,Bhopal,Heavy Tactical Truck,Maintenance,2026-06-05,2026-08-04,551.0,227,"₹26,800",Critical Shortage,49.5
EQ-1726,Bhopal,Armored Personnel Carrier (APC),Operational,2026-05-10,2026-08-08,862.0,185,71200,Low,91.9
EQ-1436,Delhi,Tactical UAV Launcher,Operational,2026-07-11,2026-08-10,202.0,198,"₹94,500",Available,0.8080
EQ-1739,Lucknow,Artillery_Tractor,Operational,24-06-2026,07-09-2026,1008.0,278,Rs. 61500,Critical Shortage,98.3
EQ-1396,Lucknow,Field Diesel Generator,Operational,2026-07-03,2026-08-17,311.0,231,Rs. 52100,Available,86.3%
EQ-2014,Delhi,heavy tactical truck,Operational,2026-06-14,2026-08-13,368.0,143,19500,Available,82.6
EQ-1943,LEH,Heavy Tactical Truck,maintenance,2026-06-24,2026-08-23,,204,"₹27,100",,47.1%
EQ-2248,Pune,Heavy Tactical Truck,Operational,2026-07-19,2026-09-17,356.0,140,19700,Low,98.9
EQ-1610,Kanpur,tactical uav launcher,operational,2026-08-05,2026-09-04,289.0,269,"107,700 INR",Available,98%
EQ-1004,Bhopal,Field Diesel Generator,Operational,2026-06-23,2026-08-07,544.0,351,71000,Low,90.2%
EQ-1495,Kanpur,Heavy Tactical Truck,Maintenance,2026-06-08,2026-08-07,702.0,243,36400,Critical Shortage,57%
EQ-1916,  Kanpur   ,Artillery_Tractor,Maintenance,2026-05-04,2026-07-18,785.0,208,95000,Available,49.0
EQ-1900,  Pune   ,Tactical UAV Launcher,Operational,02-08-2026,01-09-2026,181.0,154,86900,Available,81.5
EQ-1568,BHOPAL,Heavy Tactical Truck,Maintenance,2026-07-08,2026-09-06,336.0,129,30300,Critical Shortage,64.0
EQ-1548,Jodhpur,field diesel generator,Operational,2026-07-31,2026-09-14,375.0,247,58600,Critical Shortage,91.0
EQ-1835,Leh,Heavy Tactical Truck,Operational,2026-06-28,2026-08-27,430.0,173,"20,700 INR",Available,0.8710
EQ-1774,delhi,Mobile Radar Unit,Operational,2026-08-04,2026-10-03,493.0,243,Rs. 152400,Critical Shortage,89.9
EQ-1337,Pune,Armored Personnel Carrier (APC),Operational,2026-05-20,2026-08-18,740.0,153,Rs. 76000,Low,80.0
EQ-1566,Lucknow,Armored Personnel Carrier (APC),operational,2026-07-19,2026-10-17,883.0,174,73100,,0.9500
EQ-1117,LUCKNOW,field diesel generator,operational,28-06-2026,12-08-2026,390.0,257,51900,Available,91.7
EQ-1059,Pune,Heavy Tactical Truck,Maintenance,2026-06-13,2026-08-12,527.0,189,33600,Low,55.3
EQ-2220,Siliguri,Heavy Tactical Truck,Maintenance,2026-06-22,2026-08-21,700.0,271,44800,Available,53.8
EQ-1157,Leh,heavy tactical truck,operational,2026-07-09,2026-09-07,624.0,258,24700,Available,92.1
EQ-1779,delhi,Armored Personnel Carrier (APC),operational,2026-06-09,2026-09-07,920.0,191,75300,Available,81.5
EQ-1508,Lucknow,heavy tactical truck,Maintenance,2026-06-16,2026-08-15,390.0,136,30100,Available,47.0
EQ-1589,  Bhopal   ,Field Diesel Generator,Maintenance,2026-06-16,2026-07-31,427.0,309,78600,Low,46.7
EQ-2045,sILIGURI, Field Diesel Generator ,Operational,2026-06-20,2026-08-04,327.0,249,"₹53,400",Available,97.7
EQ-1514,lEH,Armored Personnel Carrier (APC),Maintenance,2026-06-15,2026-09-13,,149,"106,800 INR",Available,55%
EQ-1224,Delhi,Heavy Tactical Truck,Maintenance,07-15-2026,09-13-2026,288.0,102,"₹30,800",Critical Shortage,49.1
EQ-1978,Leh,Heavy Tactical Truck,Maintenance,2026-07-24,2026-09-22,177.0,65,25300,Available,0.4780
EQ-1075,JODHPUR,Tactical UAV Launcher,Operational,2026-07-19,2026-08-18,72.0,64,77500,Available,87.1
EQ-1219,Lucknow,Armored Personnel Carrier (APC),Operational,2026-06-29,2026-09-27,897.0,170,79200,Available,89.7%
EQ-1504,Jodhpur,Armored Personnel Carrier (APC),Operational,2026-07-20,2026-10-18,1178.0,223,72300,Available,86.5
EQ-2115,Leh,Armored Personnel Carrier (APC),Operational,2026-06-23,2026-09-21,938.0,202,85900,Available,88%
EQ-1887,Kanpur,Field Diesel Generator,Operational,2026-07-14,2026-08-28,386.0,295,68800,,84.5
EQ-1545,  Bhopal   ,Armored Personnel Carrier (APC),Operational,2026-06-27,2026-09-25,317.0,71,55200,Available,95.5
EQ-1731,dELHI,Heavy Tactical Truck,Operational,2026-08-05,2026-10-04,503.0,183,20600,Available,90.9
EQ-1873,Leh, Heavy Tactical Truck ,Operational,2026-07-17,2026-09-15,279.0,112,16300,Available,94.1
EQ-1560,Delhi,Heavy Tactical Truck,Operational,2026-07-24,2026-09-22,401.0,156,17300,Available,82.5
EQ-1889,Kanpur,Field Diesel Generator,Operational,2026-07-18,2026-09-01,396.0,295,64400,Available,92.3
EQ-2177,Leh,Armored Personnel Carrier (APC),Operational,2026-07-22,2026-10-20,516.0,110,"59,300 INR",Available,86.2
EQ-1572,Jodhpur,Heavy Tactical Truck,Maintenance,12-Jun-2026,11-Aug-2026,638.0,250,32900,Low,56.4%
EQ-1965,Bhopal,Field Diesel Generator,Operational,2026-07-29,2026-09-12,330.0,254,60800,Available,98%
EQ-1812,kanpur,Artillery Tractor,operational,2026-06-12,2026-08-26,566.0,173,Rs. 55800,Available,86.3
EQ-1322,Lucknow,field diesel generator,Operational,24-07-2026,07-09-2026,422.0,295,Rs. 58700,Available,87.0%
EQ-2002,Lucknow,Heavy Tactical Truck,Operational,10-Jul-2026,08-Sep-2026,552.0,216,"19,400 INR",Available,80.9%
EQ-1407,Delhi,Field Diesel Generator,operational,14-07-2026,28-08-2026,292.0,195,50200,Critical Shortage,95.1
EQ-1523,Kanpur,Armored Personnel Carrier (APC),Operational,07-07-2026,10-05-2026,737.0,161,"75,900 INR",Critical Shortage,0.9060
EQ-1438,  Jodhpur   ,Heavy Tactical Truck,Operational,2026-07-18,2026-09-16,,112,15200,Available,96.0
EQ-1269,Siliguri, Field Diesel Generator ,Operational,2026-07-15,2026-08-29,307.0,233,59100,Low,91.7%
EQ-1156,  Delhi   ,Armored Personnel Carrier (APC),operational,2026-06-26,2026-09-24,760.0,159,79600,Low,93.0
EQ-1363,Leh,Armored Personnel Carrier (APC),Operational,2026-06-14,2026-09-12,976.0,189,Rs. 79600,Low,82%
EQ-1626,Siliguri,Heavy Tactical Truck,Operational,2026-06-20,2026-08-19,398.0,151,18400,Low,88.1
EQ-1155,Jodhpur,Mobile Radar Unit,Operational,07-17-2026,09-15-2026,436.0,209,150600,Available,94.3
EQ-1237,LEH,Field Diesel Generator,Operational,2026-07-23,2026-09-06,212.0,138,45600,Available,94%
EQ-1924,lucknow,Field Diesel Generator,Operational,2026-07-31,2026-09-14,294.0,217,59000,Available,86.4
EQ-1499,Bhopal,Heavy Tactical Truck,Maintenance,2026-06-14,2026-08-13,385.0,135,24500,Available,60.7
EQ-1976,Kanpur,Armored Personnel Carrier (APC),Operational,2026-05-04,2026-08-02,475.0,100,55800,Available,86%
EQ-1420,LEH,Armored Personnel Carrier (APC),operational,2026-08-02,2026-10-31,1035.0,198,68300,Available,0.8020
EQ-1783,Bhopal,Heavy Tactical Truck,operational,23-Jul-2026,21-Sep-2026,514.0,192,20300,Low,83.1
EQ-1639,Leh,Heavy Tactical Truck,Operational,2026-07-08,2026-09-06,314.0,116,19100,Available,83.6
EQ-2098,BHOPAL,Armored Personnel Carrier (APC),Operational,2026-06-09,2026-09-07,480.0,95,"58,200 INR",Available,84.2
EQ-2076,leh,Artillery Tractor,Operational,2026-06-14,2026-08-28,648.0,170,"53,100 INR",Low,88.5
EQ-1055,Kanpur,Heavy Tactical Truck,Maintenance,06-24-2026,08-23-2026,540.0,221,32900,Low,62.7
EQ-1911,Lucknow,Heavy Tactical Truck,Operational,2026-06-20,2026-08-19,408.0,161,19700,Available,84.3
EQ-1486,Lucknow,Field Diesel Generator,maintenance,30/07/2026,13/09/2026,267.0,174,87000,Low,54.8
EQ-1649,KANPUR,Field Diesel Generator,Maintenance,29-May-2026,13-Jul-2026,366.0,246,78300,,58.4
EQ-1723,Lucknow,Tactical UAV Launcher,Operational,08-07-2026,07-08-2026,155.0,127,78200,Available,87.5
EQ-2138,Leh,Heavy Tactical Truck,operational,06-03-2026,08-02-2026,328.0,119,Rs. 18800,Available,87.3
EQ-2032,Lucknow,Heavy Tactical Truck,Maintenance,06-19-2026,08-18-2026,268.0,99,21000,Available,60.2
EQ-1052,  Bhopal   ,Artillery Tractor,Operational,2026-06-15,2026-08-29,637.0,175,52300,Available,0.8090
EQ-1721,Bhopal,Heavy Tactical Truck,Out of Service,2026-06-02,2026-08-01,521.0,188,"43,400 INR",Available,38.5
EQ-1026,Delhi,Field Diesel Generator,Operational,2026-07-03,2026-08-17,375.0,266,Rs. 54500,Low,82.7
EQ-1210,Bhopal,Artillery Tractor,Operational,21-06-2026,04-09-2026,1322.0,387,67900,Low,95.5
EQ-1762,Lucknow,Heavy Tactical Truck,Operational,2026-06-20,2026-08-19,513.0,180,20900,Low,93.6%
EQ-1615,DELHI,Armored Personnel Carrier (APC),Maintenance,2026-07-10,2026-10-08,,317,180600,Critical Shortage,52.9
EQ-1063,siliguri,Tactical UAV Launcher,Operational,2026-07-10,2026-08-09,158.0,139,84400,Available,83.7
EQ-1083,Pune, Heavy Tactical Truck ,Operational,2026-07-27,2026-09-25,679.0,241,Rs. 22100,Available,81.2
EQ-1138,Pune,Heavy Tactical Truck,Operational,2026-07-13,2026-09-11,426.0,160,Rs. 17300,Low,98.4
EQ-1141,Siliguri,Armored Personnel Carrier (APC),Operational,2026-05-05,2026-08-03,1072.0,206,74600,Available,91.6
EQ-1293,LUCKNOW,Tactical UAV Launcher,Operational,25/07/2026,24/08/2026,171.0,165,85500,Low,91.7
EQ-2005,Leh,Field Diesel Generator,Operational,2026-06-25,2026-08-09,399.0,301,Rs. 72300,Available,94.1
EQ-1243,Delhi,Heavy Tactical Truck,Operational,2026-07-05,2026-09-03,509.0,197,20900,Available,87.9
EQ-1232,LUCKNOW,HEAVY TACTICAL TRUCK,Operational,2026-08-04,2026-10-03,512.0,184,17500,Available,94.3
EQ-1200,Leh,Field Diesel Generator,operational,27-07-2026,10-09-2026,292.0,191,49700,Available,82.6
EQ-1687,Leh,Field Diesel Generator,Operational,2026-07-01,2026-08-15,356.0,245,55500,Low,86.1
EQ-1164,Kanpur,heavy tactical truck,Operational,25-06-2026,24-08-2026,385.0,138,16700,Available,84%
EQ-2033,Leh,Heavy Tactical Truck,operational,13-07-2026,11-09-2026,459.0,192,19900,Available,92.8
EQ-1705,Jodhpur,Armored Personnel Carrier (APC),Operational,06-10-2026,09-08-2026,571.0,117,67900,Available,86.6
EQ-1515,Lucknow,Heavy Tactical Truck,Operational,2026-06-22,2026-08-21,358.0,149,18200,,87.2
EQ-1735,Kanpur,Field Diesel Generator,Operational,16-Jul-2026,30-Aug-2026,499.0,321,54700,Low,95.4
EQ-1295,Lucknow,Tactical UAV Launcher,Operational,2026-08-01,2026-08-31,218.0,212,113500,Critical Shortage,98.9
EQ-1257,LEH,Field Diesel Generator,Operational,2026-06-16,2026-07-31,464.0,336,"57,800 INR",Available,82%
EQ-1854,Delhi,Field Diesel Generator,Operational,2026-07-20,2026-09-03,496.0,331,"59,200 INR",Critical Shortage,87%
EQ-1678,Siliguri,Heavy Tactical Truck,Operational,19/07/2026,17/09/2026,631.0,253,19900,Available,0.8860
EQ-2172,Lucknow,Mobile Radar Unit,Operational,2026-07-19,2026-09-17,508.0,209,155600,Available,88.4
EQ-1935,  Siliguri   ,Heavy Tactical Truck,operational,2026-08-02,2026-10-01,535.0,194,20100,Available,88.5
EQ-1358,Pune,Armored Personnel Carrier (APC),Operational,06-11-2026,09-09-2026,922.0,180,80100,Available,82%
EQ-1915,Leh, Field Diesel Generator ,operational,2026-06-22,2026-08-06,374.0,254,56000,Low,89.3
EQ-1131,Delhi,Armored Personnel Carrier (APC),Operational,2026-05-27,2026-08-25,583.0,117,60200,Low,90.1
EQ-1095,KANPUR,Armored Personnel Carrier (APC),Operational,2026-08-04,2026-11-02,901.0,175,73300,Low,82.5
EQ-1100,lEH,Armored Personnel Carrier (APC),Operational,2026-07-17,2026-10-15,891.0,183,69500,Available,0.9300
EQ-1671,LUCKNOW, Field Diesel Generator ,Operational,07-05-2026,08-19-2026,488.0,334,58400,Available,81.2
EQ-1230,Siliguri,Tactical UAV Launcher,Operational,04-Aug-2026,03-Sep-2026,271.0,228,110000,Available,0.9230
EQ-1386,Pune,Artillery Tractor,Operational,2026-06-25,2026-09-08,781.0,202,60400,Available,90.8
EQ-2212,Kanpur,Mobile Radar Unit,Operational,2026-06-09,2026-08-08,351.0,160,137400,Critical Shortage,97.7
EQ-2060,Jodhpur,Field Diesel Generator,Operational,07-31-2026,09-14-2026,336.0,237,"₹57,600",Available,92.0%
EQ-1977,Bhopal,Heavy Tactical Truck,Operational,2026-06-11,2026-08-10,438.0,154,18100,Low,82.0%
EQ-1186,Leh,Artillery Tractor,Operational,2026-06-02,2026-08-16,853.0,230,"₹51,600",Low,88.0
EQ-1366,Kanpur,Tactical UAV Launcher,Maintenance,2026-06-30,2026-07-30,212.0,174,154000,Available,55.4
EQ-1304,dELHI,Heavy Tactical Truck,Operational,2026-06-06,2026-08-05,510.0,202,19600,,88.2
EQ-1868,Delhi,Armored Personnel Carrier (APC),Operational,2026-06-17,2026-09-15,1041.0,211,76900,Available,81.3
EQ-1771,Lucknow,Field Diesel Generator,Maintenance,07/07/2026,21/08/2026,459.0,302,119400,Available,67.2
EQ-1106,Leh,Heavy Tactical Truck,Operational,2026-06-25,2026-08-24,527.0,193,19900,Available,87.3
EQ-1073,Bhopal,Heavy Tactical Truck,Operational,2026-08-04,2026-10-03,446.0,173,19100,Available,83.7
EQ-1532,Leh,HEAVY TACTICAL TRUCK,Operational,2026-06-23,2026-08-22,,100,"15,200 INR",Available,0.8750
EQ-2037,Delhi,Field Diesel Generator,operational,07-02-2026,08-16-2026,246.0,186,52700,Low,85.4%
EQ-1903,Delhi,Heavy Tactical Truck,operational,2026-07-04,2026-09-02,448.0,176,18700,Available,91.6
EQ-1554,Siliguri,Heavy Tactical Truck,Operational,2026-06-08,2026-08-07,517.0,186,17900,Available,89.3
EQ-1479,Lucknow,Field Diesel Generator,Operational,04-Aug-2026,18-Sep-2026,586.0,444,76400,Available,92.8
EQ-1673,Delhi,Armored Personnel Carrier (APC),Operational,2026-07-20,2026-10-18,791.0,177,69500,Available,92.8
EQ-1395,kanpur,Heavy Tactical Truck,Operational,2026-06-07,2026-08-06,603.0,228,"22,300 INR",Available,87.1
EQ-1902,Leh,Armored Personnel Carrier (APC),Operational,2026-07-02,2026-09-30,898.0,175,"₹80,700",Available,0.9530
EQ-2146,BHOPAL,Tactical UAV Launcher,Operational,2026-07-07,2026-08-06,209.0,195,110900,Available,88.4%
EQ-1638,Lucknow,Mobile Radar Unit,Operational,2026-07-24,2026-09-22,471.0,198,124900,Available,90.8
EQ-1968,siliguri,Field Diesel Generator,Operational,2026-07-19,2026-09-02,479.0,368,69300,Critical Shortage,94.2
EQ-1680,Bhopal,Mobile Radar Unit,Maintenance,2026-08-05,2026-10-04,632.0,258,231300,Critical Shortage,51.7
EQ-1049,Kanpur, Artillery Tractor ,Operational,2026-07-25,2026-10-08,,212,56000,Available,83.2
EQ-1793,Leh,Armored Personnel Carrier (APC),Maintenance,2026-05-09,2026-08-07,980.0,208,143100,Available,53%
EQ-1722,JODHPUR,Field Diesel Generator,Out of Service,06-07-2026,20-08-2026,228.0,157,79700,Low,38.3
EQ-1707,lUCKNOW,Field Diesel Generator,Operational,03-Aug-2026,17-Sep-2026,247.0,183,55200,Available,93.0
EQ-2053,Bhopal,Armored Personnel Carrier (APC),Operational,2026-06-25,2026-09-23,1163.0,219,"73,900 INR",Critical Shortage,96.9
EQ-1879,Pune,Heavy Tactical Truck,Operational,2026-08-02,2026-10-01,418.0,174,20400,Available,94.2
EQ-1695,Kanpur,Mobile Radar Unit,Operational,2026-06-30,2026-08-29,546.0,224,160100,Available,93.2
EQ-1279,Siliguri,Armored_Personnel_Carrier_(APC),Operational,2026-07-31,2026-10-29,933.0,198,78500,,93.3
EQ-1353,pUNE,Artillery Tractor,Operational,10/07/2026,23/09/2026,796.0,237,59500,Available,91.6
EQ-1528,Leh,Heavy Tactical Truck,Operational,2026-06-14,2026-08-13,453.0,177,18000,Available,82.9
EQ-2234,Pune,Heavy Tactical Truck,Operational,06-07-2026,08-06-2026,,291,Rs. 21200,,87.1
EQ-1702,Siliguri,Field_Diesel_Generator,Maintenance,15/07/2026,29/08/2026,420.0,322,89900,Available,58.6
EQ-1613,  Siliguri   ,Artillery Tractor,Operational,2026-07-15,2026-09-28,809.0,208,60500,,91.3%
EQ-2157,leh,Heavy Tactical Truck,Operational,2026-07-22,2026-09-20,,144,18700,Available,98.9
EQ-1151,Leh,Field Diesel Generator,Operational,2026-07-08,2026-08-22,401.0,275,57300,Available,86.0
EQ-1136,Jodhpur,Heavy Tactical Truck,Operational,2026-07-11,2026-09-09,645.0,244,22100,Available,98.9
EQ-1024,Kanpur,Heavy Tactical Truck,Maintenance,2026-05-28,2026-07-27,263.0,110,"24,100 INR",Low,56.9
EQ-1766,Kanpur,Artillery Tractor,Operational,2026-06-20,2026-09-03,620.0,159,48600,,80.6
EQ-2247,Bhopal,Artillery Tractor,operational,20-05-2026,03-08-2026,695.0,196,50500,Available,92.1
EQ-1085,Lucknow,TACTICAL UAV LAUNCHER,operational,07-31-2026,08-30-2026,169.0,154,93300,Available,84.9
EQ-1971,Lucknow,Artillery Tractor,Operational,2026-05-21,2026-08-04,741.0,201,49400,Available,80.1
EQ-1465,Lucknow,Heavy Tactical Truck,operational,2026-06-24,2026-08-23,453.0,169,20000,Available,86.7
EQ-1452,Delhi,Artillery Tractor,Operational,2026-05-25,2026-08-08,864.0,242,58100,Available,93.0
EQ-1633,dELHI, Field Diesel Generator ,Operational,2026-07-15,2026-08-29,323.0,250,"₹58,500",Available,90.4
EQ-1930,Jodhpur,Armored Personnel Carrier (APC),Operational,2026-05-03,2026-08-01,931.0,191,83800,Available,85.2
EQ-1047,Leh,Armored Personnel Carrier (APC),Operational,2026-07-03,2026-10-01,798.0,171,76900,Available,0.8410
EQ-1503,Pune,Artillery Tractor,Operational,2026-05-29,2026-08-12,407.0,125,"44,200 INR",Available,84.7
EQ-1776,kanpur,Mobile Radar Unit,Maintenance,2026-06-05,2026-08-04,,116,"164,800 INR",Low,59%
EQ-1188,  Lucknow   ,Field Diesel Generator,Operational,2026-07-07,2026-08-21,383.0,255,59700,Available,0.8430
EQ-1821,Jodhpur,Heavy Tactical Truck,Operational,07-03-2026,09-01-2026,414.0,151,"19,100 INR",Available,83.1
EQ-1588,LUCKNOW,Field Diesel Generator,operational,2026-07-28,2026-09-11,282.0,209,59200,Critical Shortage,94.3
EQ-1252,Kanpur,Field_Diesel_Generator,Maintenance,11/06/2026,26/07/2026,470.0,315,100500,Low,49.2
EQ-1600,Delhi,Armored_Personnel_Carrier_(APC),Operational,2026-07-10,2026-10-08,1019.0,213,80500,Low,83.9
EQ-1342,Siliguri,Artillery Tractor,Operational,17-May-2026,31-Jul-2026,703.0,207,55000,Low,91.1
EQ-1892,Siliguri,Field Diesel Generator,Out of Service,2026-06-18,2026-08-02,377.0,290,117500,Available,15.9
EQ-2181,kANPUR,Tactical UAV Launcher,Operational,2026-07-01,2026-07-31,213.0,203,"₹91,100",Low,94.4
EQ-1979,kanpur,Mobile Radar Unit,operational,2026-06-29,2026-08-28,267.0,115,"₹123,300",Available,91.3
EQ-1552,Siliguri,Field Diesel Generator,operational,23-Jul-2026,06-Sep-2026,344.0,250,Rs. 59000,Critical Shortage,92.1
EQ-2236,Lucknow,Heavy Tactical Truck,operational,2026-07-26,2026-09-24,621.0,248,22600,Available,95.7
EQ-1506,Lucknow,Field Diesel Generator,Operational,07-14-2026,08-28-2026,330.0,230,Rs. 53200,Available,82.3
EQ-2019,  Delhi   ,TACTICAL UAV LAUNCHER,operational,2026-07-22,2026-08-21,209.0,178,103400,Low,92.1
EQ-1860,leh,Artillery Tractor,operational,2026-07-10,2026-09-23,853.0,226,60400,Available,0.9570
EQ-1582,Kanpur,Armored Personnel Carrier (APC),Operational,30/05/2026,28/08/2026,772.0,174,69300,Available,0.9610
EQ-1246,bHOPAL,armored personnel carrier (apc),Operational,2026-06-10,2026-09-08,832.0,178,Rs. 77000,Available,88%
EQ-1166,Bhopal,Heavy_Tactical_Truck,Out of Service,2026-06-08,2026-08-07,,193,Rs. 50300,Critical Shortage,15.7
EQ-2190,Jodhpur,Armored Personnel Carrier (APC),Operational,2026-07-19,2026-10-17,778.0,146,75000,Available,94.8
EQ-1513,  Jodhpur   ,Field Diesel Generator,Operational,24-Jun-2026,08-Aug-2026,354.0,245,53900,,91.3
EQ-1485,Kanpur,field diesel generator,operational,2026-07-26,2026-09-09,278.0,214,45300,Available,96.1
EQ-1990,Kanpur,Field Diesel Generator,Operational,02-07-2026,16-08-2026,382.0,261,Rs. 54600,Low,91.9%
EQ-2185,Lucknow,ARMORED PERSONNEL CARRIER (APC),Operational,2026-05-31,2026-08-29,683.0,145,Rs. 65200,Available,82.3
EQ-1172,Lucknow,Artillery Tractor,Operational,2026-07-02,2026-09-15,540.0,154,"49,100 INR",Available,90.6
EQ-2013,Lucknow,Armored Personnel Carrier (APC),Operational,2026-07-20,2026-10-18,1541.0,298,95600,Available,94.7%
EQ-1967,Lucknow,HEAVY TACTICAL TRUCK,Operational,27/06/2026,26/08/2026,357.0,144,Rs. 19500,Low,93.7
EQ-1410,Leh,heavy tactical truck,Operational,2026-06-05,2026-08-04,474.0,198,17800,Critical Shortage,95.4
EQ-1664,Lucknow,Heavy Tactical Truck,Operational,07-01-2026,08-30-2026,359.0,150,18200,Available,96.5
EQ-1863,Delhi,Field Diesel Generator,Operational,2026-07-21,2026-09-04,459.0,352,65000,Available,92.3
EQ-2162,Lucknow,Tactical UAV Launcher,Operational,2026-07-23,2026-08-22,364.0,309,120800,Available,82.5%
EQ-1013,Kanpur,Tactical UAV Launcher,Operational,23/07/2026,22/08/2026,229.0,207,101400,Available,95.1
EQ-1542,LEH,Heavy Tactical Truck,Operational,2026-06-19,2026-08-18,317.0,124,17800,Critical Shortage,88.5
EQ-1875,LEH,Field Diesel Generator,maintenance,2026-07-17,2026-08-31,343.0,258,81800,Available,54.8
EQ-1817,Lucknow,Field Diesel Generator,Maintenance,2026-07-08,2026-08-22,391.0,276,101200,Available,57.6
EQ-1627,pUNE, Field Diesel Generator ,Operational,2026-07-02,2026-08-16,289.0,200,57700,Available,91.4
EQ-1525,Siliguri,Mobile Radar Unit,operational,2026-07-08,2026-09-06,370.0,156,Rs. 129000,Available,86.7
EQ-1387,Bhopal,Field Diesel Generator,Out of Service,2026-07-29,2026-09-12,366.0,280,167800,Low,15.1
EQ-1392,Siliguri,Heavy Tactical Truck,maintenance,2026-07-07,2026-09-05,524.0,197,37700,Low,58.2%
EQ-1145,Bhopal,tactical uav launcher,operational,2026-08-03,2026-09-02,228.0,207,97000,Low,90.6%
EQ-1716,Leh,Armored_Personnel_Carrier_(APC),Operational,10-07-2026,08-10-2026,1165.0,250,"₹88,900",Available,90.5
EQ-2169,Jodhpur,Heavy Tactical Truck,Operational,2026-06-01,2026-07-31,518.0,201,Rs. 21300,Available,93.5
EQ-1103,Leh,Field Diesel Generator,Operational,2026-06-24,2026-08-08,345.0,239,59000,Available,93.1
EQ-2070,Lucknow,Armored Personnel Carrier (APC),Operational,2026-06-12,2026-09-10,,212,72500,Low,81.4
EQ-1482,Lucknow,Tactical UAV Launcher,Operational,2026-07-18,2026-08-17,,147,91400,Available,87.2
EQ-1801,Lucknow,Artillery Tractor,Operational,08-02-2026,10-16-2026,810.0,241,"63,100 INR",Low,90.3
EQ-2164,  Bhopal   ,Artillery Tractor,Operational,04/08/2026,18/10/2026,414.0,112,51300,Available,93.7
EQ-1137,LEH,Mobile Radar Unit,Operational,2026-07-18,2026-09-16,378.0,155,137000,Available,95.6
EQ-1352,Lucknow,FIELD DIESEL GENERATOR,Operational,2026-06-17,2026-08-01,544.0,348,"65,200 INR",Available,81.0
EQ-1181,Kanpur,Heavy Tactical Truck,Operational,2026-06-03,2026-08-02,507.0,203,20300,Available,94.5
EQ-1619,Pune,Field Diesel Generator,Operational,28-Jul-2026,11-Sep-2026,421.0,288,51500,Available,90.6%
EQ-1089,Leh,Heavy_Tactical_Truck,Operational,2026-06-14,2026-08-13,374.0,151,18300,Available,87.2
EQ-2197,Kanpur,FIELD DIESEL GENERATOR,Operational,2026-07-23,2026-09-06,371.0,258,58500,Low,0.8380
EQ-1368,Kanpur,Armored Personnel Carrier (APC),Operational,2026-06-06,2026-09-04,966.0,195,"68,400 INR",Available,88.5
EQ-1427,Bhopal,Mobile_Radar_Unit,Operational,16-Jul-2026,14-Sep-2026,306.0,146,Rs. 136800,Available,91.5
